filename,site,day,month,year,date
20230526_062000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_063000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_064000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_065000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_070000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_071000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_072000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_073000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_074000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_075000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_080000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_081000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_082000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_083000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_084000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_085000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_090000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_091000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_092000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_093000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_094000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_095000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_100000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_101000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_102000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_103000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_104000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_105000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_110000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_111000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_112000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_113000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_114000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_115000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_120000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_121000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_122000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_123000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_124000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_125000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_130000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_131000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_132000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_133000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_134000.WAV,PRIMAVERA,26,5,23,5/26/23
20230526_135000.WAV,PRIMAVERA,26,5,23,5/26/23
